City,Latitude,Longitude
,,
Acampo,38.198666,-121.230207
,,
Acton,34.49607,-118.261862
,,
Alameda,37.770563,-122.264779
,,
Alhambra,34.090728,-118.136444
,,
Alondra Park,33.890155,-118.335678
,,
Altaville,38.092294,-120.535316
,,
Altadena,34.192212,-118.135589
,,
Alturas,41.433984,-120.640865
,,
Alvarado,37.5966,-122.078
,,
Amador,35.187133,-117.885359
,,
Anaheim,33.844983,-117.952151
,,
Anderson,40.469324,-122.278404
,,
Angels Camp,38.052816,-120.618608
,,
Antioch,37.996501,-121.812301
,,
Aptos,37.05297,-121.949418
,,
Arbuckle,39.0134,-121.996852
,,
Arcadia,34.132689,-118.036347
,,
Arcata,40.881383,-123.984232
,,
Arroyo Grande,35.176005,-120.476742
,,
Artesia,33.867,-118.08
,,
Auburn,39.014933,-121.07047
,,
Avalon,33.34281,-118.32785
,,
Azusa,34.13529,-117.998506
,,
Baden,37.6497,122.4341
,,
Bakersfield,35.384337,-119.020562
,,
Banning,33.919215,-116.864197
,,
Beaumont,33.92703,-116.954753
,,
Benicia,38.04936,-122.15858
,,
Berkeley,37.860576,-122.29673
,,
Beverly Hills,34.07923,-118.402437
,,
Biggs,39.40672,-121.753522
,,
Black Diamond,37.9564,-121.8497
,,
,,
Blue Lake,40.961876,-123.88501
,,
Bodie,38.2128,-119.0125
,,
Boulder Creek,37.176595,-122.130887
,,
Brentwood,37.922228,-121.668359
,,
Butte City,39.458507,-121.934145
,,
Byron,37.858925,-121.617002
,,
Calistoga,38.5788,-122.57971
,,
Cambria,35.587748,-120.954454
,,
Campbell,37.278563,-121.955101
,,
Capay,38.785596,-122.140491
,,
Caspar,39.367286,-123.8042
,,
Castroville,36.782556,-121.735759
,,
Cayucos,35.473343,-120.908608
,,
Centerville,36.7348,-119.4989
,,
Chico,39.746159,-121.840083
,,
Chino,34.0137,-117.639209
,,
Clements,38.211127,-121.044252
,,
Cloverdale,38.823075,-123.063567
,,
Colfax,39.126473,-120.863763
,,
College City,39.169245,-122.290204
,,
Colton,34.0739,-117.31365
,,
Colusa,39.21433,-122.00942
,,
Compton,33.874815,-118.240208
,,
Concord,37.953672,-122.022872
,,
Copperopolis,37.971877,-120.649912
,,
Corning,39.92766,-122.17916
,,
Coulterville,37.700116,-120.155251
,,
Covina,34.097345,-117.906736
,,
Crescent City,41.819578,-124.065667
,,
Crockett,38.04254,-122.21649
,,
Davis,38.55413,-121.798469
,,
Delano,35.779507,-119.200825
,,
Dinuba,36.509532,-119.395365
,,
Dixon,38.397372,-121.761419
,,
Downey,33.786594,-118.298662
,,
Dunnigan,38.88518,-121.96969
,,
Dunsmuir,41.20821,-122.27195
,,
Dutch Flat,39.196515,-120.829762
,,
East Bakersfield,35.384337,-119.020562
,,
East Berkeley,37.860576,-122.29673
,,
El Cajon,32.776012,-116.880634
,,
Elk Grove,38.44148,-121.307142
,,
Elmhurst,38.556,-121.4495
,,
Elmira,38.35232,-121.90772
,,
Elsinore,33.668,-117.3277
,,
Escondido,33.102005,-117.08042
,,
Eureka,40.798802,-124.15192
,,
Fallbrook,33.390477,-117.209427
,,
Farmington,37.92987,-121.00436
,,
Felton,37.04127,-122.07551
,,
Fernando,35.187133,-117.885359
,,
Ferndale,40.465229,-124.26879
,,
Fillmore,34.393387,-118.864285
,,
Folsom,38.666597,-121.141636
,,
Fort Bragg,39.4,-123.81667
,,
Fortuna,40.59819,-124.15728
,,
Fowler,36.623402,-119.691869
,,
Fresno,36.8411,-119.801015
,,
Fullerton,33.879768,-117.896341
,,
Galt,38.289817,-121.313883
,,
Garvanza,35.187133,-117.885359
,,
Georgetown,38.924378,-120.703303
,,
Germantown,39.1732,-77.2717
,,
Geyserville,38.707323,-123.006531
,,
Gilroy,37.023347,-121.493849
,,
Glen Ellen,38.383854,-122.557253
,,
Gonzales,36.502102,-121.408607
,,
Grass Valley,39.196288,-120.95855
,,
Greenwood,38.909448,-120.889138
,,
Gridley,39.355492,-121.724685
,,
Guadalupe,34.938796,-120.57318
,,
Guerneville,38.495554,-122.979355
,,
Hanford,36.220468,-119.71776
,,
Hayward,37.680181,-121.921498
,,
Highland,34.12834,-117.20865
,,
Hollister,36.828078,-121.3924
,,
Hueneme,35.187133,-117.885359
,,
Hydesville,40.548691,-124.09898
,,
Inglewood,33.956526,-118.358654
,,
Ione,38.340647,-120.91473
,,
Jackson,38.366959,-120.763365
,,
